"","Year.of.Observation","Cetacean.Common.Name","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","NA"
"1",2000,"Dalls porpoise",2,NA,1,4,1,NA,2,NA,NA,NA,NA,NA,NA
"2",2000,"Gray whale",NA,NA,NA,7,8,8,1,1,NA,NA,NA,NA,NA
"3",2000,"Harbor porpoise",1,NA,2,1,1,NA,NA,2,NA,NA,NA,NA,NA
"4",2000,"Killer whale",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"5",2000,"Rissos",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"6",2000,"Sperm whale",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2000,"Unidentified",1,1,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA
"8",2001,"Cuviers beaked whale",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2001,"Dalls porpoise",NA,1,NA,NA,1,2,1,NA,NA,1,1,NA,NA
"10",2001,"Gray whale",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"11",2001,"Harbor porpoise",1,NA,1,1,7,NA,4,1,1,NA,NA,2,NA
"12",2001,"Stejnegers beaked whale",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2001,"Unidentified",NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA
"14",2002,"Cuviers beaked whale",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",2002,"Dalls porpoise",1,NA,NA,1,3,NA,1,NA,1,NA,NA,NA,NA
"16",2002,"Fin whale",NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA
"17",2002,"Gray whale",NA,1,NA,2,1,NA,NA,1,NA,NA,NA,NA,NA
"18",2002,"Harbor porpoise",1,NA,1,1,2,2,2,2,NA,NA,NA,NA,NA
"19",2002,"Killer whale",2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2002,"Other",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"21",2002,"Pacific white-sided dolphin",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"22",2002,"Sperm whale",NA,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
"23",2002,"Unidentified",NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA
"24",2003,"Bairds beaked whale",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"25",2003,"Dalls porpoise",NA,2,NA,NA,1,NA,1,1,NA,NA,1,NA,NA
"26",2003,"Gray whale",NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA
"27",2003,"Harbor porpoise",NA,NA,2,1,16,3,10,2,NA,NA,1,NA,NA
"28",2003,"Humpback whale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"29",2003,"Minke whale",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",2003,"Northern right whale dolphin",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",2003,"Other",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"32",2003,"Pacific white-sided dolphin",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA
"33",2003,"Sperm whale",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",2003,"Stejnegers beaked whale",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",2003,"Striped dolphin",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",2003,"Unidentified",NA,NA,NA,NA,NA,2,1,2,NA,NA,NA,NA,NA
"37",2004,"Bottlenose dolphin",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"38",2004,"Dalls porpoise",1,2,3,NA,1,NA,3,2,2,1,1,NA,NA
"39",2004,"Gray whale",1,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA
"40",2004,"Harbor porpoise",1,2,1,4,3,2,13,3,2,2,NA,NA,NA
"41",2004,"Humpback whale",NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"42",2004,"Killer whale",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"43",2004,"Minke whale",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",2004,"Northern right whale dolphin",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",2004,"Pacific white-sided dolphin",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",2004,"Sperm whale",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",2004,"Striped dolphin",NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"48",2004,"Unidentified",1,1,NA,NA,3,NA,NA,1,2,NA,NA,1,NA
"49",2005,"Cuviers beaked whale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"50",2005,"Dalls porpoise",1,1,NA,1,3,1,1,1,1,NA,3,NA,NA
"51",2005,"Gray whale",NA,1,NA,3,7,NA,2,NA,1,NA,NA,2,NA
"52",2005,"Harbor porpoise",NA,1,NA,4,10,3,5,5,1,NA,1,NA,NA
"53",2005,"Humpback whale",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"54",2005,"Pacific white-sided dolphin",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"55",2005,"Pygmy sperm whale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
"56",2005,"Sperm whale",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",2005,"Unidentified",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA
"58",2006,"Cuviers beaked whale",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"59",2006,"Dalls porpoise",NA,NA,NA,1,2,NA,NA,1,1,NA,1,NA,NA
"60",2006,"Fin whale",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA
"61",2006,"Gray whale",1,1,NA,1,5,3,2,NA,NA,NA,NA,1,NA
"62",2006,"Harbor porpoise",2,3,7,6,3,6,11,13,8,3,2,1,NA
"63",2006,"Humpback whale",NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"64",2006,"Minke whale",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"65",2006,"Other",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",2006,"Pacific white-sided dolphin",2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",2006,"Pygmy sperm whale",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",2006,"Short-beaked common dolphin",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"69",2006,"Striped dolphin",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
"70",2006,"Unidentified",1,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"71",2007,"Cuviers beaked whale",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"72",2007,"Dalls porpoise",NA,NA,2,NA,NA,1,NA,NA,1,1,NA,NA,NA
"73",2007,"Gray whale",1,NA,NA,2,1,3,NA,1,NA,NA,NA,NA,NA
"74",2007,"Harbor porpoise",2,1,NA,4,5,6,17,7,NA,7,1,NA,NA
"75",2007,"Humpback whale",NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
"76",2007,"Hybrid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"77",2007,"Killer whale",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"78",2007,"Northern right whale dolphin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"79",2007,"Other",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",2007,"Pacific white-sided dolphin",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",2007,"Short-beaked common dolphin",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"82",2007,"Sperm whale",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"83",2007,"Unidentified",2,1,1,NA,3,NA,NA,1,NA,NA,NA,NA,NA
"84",2008,"Cuviers beaked whale",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"85",2008,"Gray whale",1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA
"86",2008,"Harbor porpoise",NA,NA,1,9,6,1,22,5,3,3,NA,3,NA
