"County","National.Database.Number","Field.Number","Nmfs.Regional.Number","Confidence.Code","Common.Name","Genus","Species","Report.Status","Examiner.Name","Affiliation","Stranding.Agreement.Authority","Region","Country","City","State","Body.of.Water","Locality.Detail","Latitude","Latitude.Units","Latitude.Actual.Estimate","Longitude","Longitude.Units","Longitude.Actual.Estimate","How.lat.long.determined","Restrand","Findings.of.Human.Interaction","Observation.Date","Year.of.Observation","Month.of.Observation","Day.of.Observation","How.Observed","Obs.Date.estimate.explaination","Observation.Date.Act.Est","Observation.Status","Not.Able.to.Examine","Date.of.Examination","Year.of.Examination","Month.of.Examination","Day.of.Examination","Condition.at.Examination","Left.at.Site","Sex","Age.Class","Length","Length.Units","Length.actual.estimate","Weight","Weight.Units","Date.of.Necropsy","Year.of.Necropsy","Month.of.Necropsy","Day.of.Necropsy","Stranding.Necropsied.By","Additional.Remarks","Cetacean.Common.Name","Water.Body","mean_lat","mean_long","Long_error","Lat_error","long_corr","lat_corr"
"Clallam","NW-2006-1058215","06-CM-009","06NWR03005","Confirmed - Medium Report","Porpoise, harbor","Phocoena","phocoena","Validated","Public","citizen caller","citizen caller","NW","United States","Rialto Beach","WA","Pacific Ocean","half-way between Rialto parking lot and Ellyns Creek",NA,NA,NA,NA,NA,NA,NA,"N","CBD","2006-MAR-16",2006,"MAR",16,"Beach or Land",NA,NA,"Moderate Decomposition","N","2006-MAR-16",2006,"MAR",16,"Moderate Decomposition","N","Unid","Unid",0,"cm","estimate",NA,NA,NA,NA,NA,NA,NA,NA,"Harbor porpoise","Inland_WA",48.1749980860215,-124.196525700935,NA,NA,-124.196525700935,48.1749980860215
"Clallam","NW-2006-1058221","06-CM-011","06NWR04018","Confirmed - Medium Report","Porpoise, harbor","Phocoena","phocoena","Validated","Agency Biologist","Olympic Coast National Marine Sanctuary","Olympic Coast National Marine Sanctuary","NW","United States","Port Angeles","WA","Strait of Juan de Fuca","Ediz Hook",NA,NA,NA,NA,NA,NA,NA,"N","CBD","2006-APR-10",2006,"APR",10,NA,NA,NA,"Fresh Dead","N","2006-APR-24",2006,"APR",24,"Advanced Decomposition","N","Unid","Unid",0,"cm","estimate",NA,NA,NA,NA,NA,NA,NA,"originally reported fresh dead by citizen on 4-10-06; no response at that time; Ed Bowlby (OCNMS biologist) examined animal on 4-24-06 (very decomposed)","Harbor porpoise","Inland_WA",48.1749980860215,-124.196525700935,NA,NA,-124.196525700935,48.1749980860215
"Clallam","NW-2016-1193149","CRC-1573Fetus","16NWR10036","Confirmed- High Report","Whale, Blainvilles beaked","Mesoplodon","densirostris","Validated","Jessie Huggins","Cascadia Research","Cascadia Research","NW",NA,"Neah Bay","WA","Pacific Ocean","Makah Bay, Tsoo-yess beach",48.3311,"dd.dddd","actual",-125,"dd.dddd","actual","GPS","N","N","2016-OCT-09",2016,"OCT",9,"Beach or Land",NA,NA,"Fresh Dead","N","2016-OCT-11",2016,"OCT",11,"Fresh Dead","N","Male","Calf",111,"cm","actual",14,"kg","2016-OCT-12",2016,"OCT",12,"CRC/WDFW","dead, in mother.","Blainvilles beaked whale","Inland_WA",48.1749980860215,-124.196525700935,0.803474299065428,-0.156101913978496,-125,48.3311
"Clallam","NW-2015-1181407","MKH2015-08","15NWR07112","Confirmed- High Report","Porpoise, Dalls","Phocoenoides","dalli","Validated","Jonathan Scordino","Makah Fisheries Management","Makah Fisheries Management","NW",NA,"Neah Bay","WA","Pacific Ocean","Wa'atch point",48.3415,"dd.dddd","estimate",-124.6806,"dd.dddd","estimate","Internet/Software","N","N","2015-JUL-22",2015,"JUL",22,"Beach or Land",NA,NA,"Fresh Dead","N","2015-JUL-24",2015,"JUL",24,"Fresh Dead","N","Female","Unid",202,"cm","actual",NA,NA,"2015-JUL-24",2015,"JUL",24,"Makah Fisheries Management","During examination noted heavy scavenging. Skull cracked in area of scavenging. Scavenging from left eye to left scapula. Small bite marks, reported coyote pups scavenging from carcass. May have been a shark bite initally. In necropsy noted Discoloration","Dalls porpoise","Inland_WA",48.1749980860215,-124.196525700935,0.484074299065426,-0.1665019139785,-124.6806,48.3415
"Clallam","NW-2006-1058411","Pp-NPP-06-01","06NWR05033","Confirmed - Medium Report","Porpoise, harbor","Phocoena","phocoena","Validated","Agency Biologist","Makah Fisheries Management","Makah Fisheries Management","NW","United States","Clallam Bay","WA","Strait of Juan de Fuca","mouth of Clallam River",NA,"deg/min/sec","actual",-124.15,"deg/min/sec","actual","Internet","N","CBD","2006-MAY-13",2006,"MAY",13,"Beach or Land",NA,NA,"Condition Unknown","N","2006-MAY-18",2006,"MAY",18,"Advanced Decomposition","N","Unid","Unid",45,"in","estimate",NA,NA,NA,NA,NA,NA,NA,NA,"Harbor porpoise","Inland_WA",48.1749980860215,-124.196525700935,-0.0465257009345805,NA,-124.15,48.1749980860215
"Clallam","NW-2015-1181472","MKH2015-04","15NWR05086","Confirmed- High Report","Porpoise, harbor","Phocoena","phocoena","Validated","Josh Monette","Makah Fisheries Management","Makah Fisheries Management","NW","United States","Neah Bay","WA","Strait of Juan de Fuca","Shipwreck point",48.3171,"decimal degrees","estimate",-124.45,"decimal degrees","estimate",NA,"N","CBD","2015-MAY-24",2015,"MAY",24,"Beach or Land",NA,NA,"Moderate Decomposition","N","2015-MAY-25",2015,"MAY",25,"Advanced Decomposition","N","Unid","Adult",167,"cm","actual",NA,NA,NA,NA,NA,NA,NA,NA,"Harbor porpoise","Inland_WA",48.1749980860215,-124.196525700935,0.253474299065431,-0.1421019139785,-124.45,48.3171
"Clallam","NW-2006-1058417","OLYM-2006-05","06NWR050035","Confirmed - Minimum","Porpoise, Dalls","Phocoenoides","dalli","Validated","Public","Olympic National Park","Olympic National Park","NW","United States","Olympic National Park","WA",NA,"just N of Tskawahyah Island on the Ozette Reservation",NA,NA,NA,NA,NA,NA,NA,"N","CBD","2006-MAY-14",2006,"MAY",14,"Beach or Land",NA,NA,"Fresh Dead","Y",NA,NA,NA,NA,NA,"N","Unid","Subadult",48,"in","estimate",NA,NA,NA,NA,NA,NA,NA,"reported by park visitor; reported as ""baby killer whale""; white on bottom; black on back; 4-5 ft. long; teeth all the way around; horizontal tail fin; freshly washed up, but being eaten by eagles (small hole developing)","Dalls porpoise","Inland_WA",48.1749980860215,-124.196525700935,NA,NA,-124.196525700935,48.1749980860215
"Clallam","NW-2013-1155235","13-CM-009","13NWR06066","Confirmed - High Report","Porpoise, harbor","Phocoena","phocoena","Validated","K. Wilkinson","NMFS West Coast Region - Seattle","NMFS - Northwest Region","NW","United States","Port Angeles","WA","Pacific Ocean","10 miles W of PA, 1 mile E of Salt Creek Rec area",48.158875,"decimal degrees","estimate",-123.724272,"decimal degrees","estimate","Internet","N","CBD","2013-JUN-16",2013,"JUN",16,"Beach or Land",NA,NA,"Condition Unknown","Y",NA,NA,NA,NA,NA,"N","Unid","Subadult",45,"in","estimate",12.5,"lb",NA,NA,NA,NA,NA,NA,"Harbor porpoise","Inland_WA",48.1749980860215,-124.196525700935,-0.472253700934573,0.0161230860215014,-123.724272,48.158875
"Clallam","NW-2006-1058649","MBHPp042706","06NWR04031","Confirmed - High Report","Porpoise, harbor","Phocoena","phocoena","Validated","Volunteer Organization","Olympic Coast National Marine Sanctuary","Olympic Coast National Marine Sanctuary","NW","United States","Sequim","WA","Strait of Juan de Fuca","Diamond Point",NA,"deg/min/sec","actual",-122.55,"deg/min/sec","actual","Internet","N","N","2006-APR-27",2006,"APR",27,"Beach or Land",NA,NA,"Fresh Dead","N","2006-APR-27",2006,"APR",27,"Fresh Dead","N","Male","Subadult",135,"cm","actual",NA,NA,"2006-JUN-21",2006,"JUN",21,"Raverty and Hanson",NA,"Harbor porpoise","Inland_WA",48.1749980860215,-124.196525700935,-1.64652570093457,NA,-124.196525700935,48.1749980860215
"Clallam","NW-2016-1193369","MKH2016-024","16NWR10041","Confirmed- Medium Report","Porpoise, harbor","Phocoena","phocoena","Validated","Jonathan Scordino","Makah Fisheries Management","Makah Fisheries Management","NW",NA,"Neah Bay","WA","Pacific Ocean","Hobuck Beach",48.3291,"dd.dddd","estimate",-125,"dd.dddd","estimate","Internet/Software","N","CBD","2016-OCT-10",2016,"OCT",10,"Beach or Land",NA,NA,"Advanced Decomposition","N","2016-OCT-11",2016,"OCT",11,"Advanced Decomposition","N","Unid","Adult",160,"cm","actual",NA,NA,NA,NA,NA,NA,NA,NA,"Harbor porpoise","Inland_WA",48.1749980860215,-124.196525700935,0.803474299065428,-0.154101913978494,-125,48.3291
"Clallam","MKH2018-002","MKH2018-002","MKH2018-002","Confirmed - Minimum","Unidentified Small Cetacean, Porpoise or Dolphin",NA,NA,NA,"Maria Roberts","Makah Fisheries Management","Makah Fisheries Management",NA,NA,NA,"WA",NA,NA,48.3403,"decimal degrees","Estimate",-124.6706,"decimal degrees","Estimate","Internet","N","CBD","2/8/18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unid","Unid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unidentified",NA,48.1749980860215,-124.196525700935,0.474074299065421,-0.165301913978496,-124.6706,48.3403
"Clallam","MKH2018-010","MKH2018-010","MKH2018-010","Confirmed - High Report","Humpback Whale","Megatera","novaeangliae",NA,"Jonathan Scordino","Makah Fisheries Management","Makah Fisheries Management",NA,NA,NA,"WA",NA,NA,48.3004,"decimal degrees","Actual",-124.4083,"decimal degrees","Actual","GPS","N","Y","8/23/18",2018,NA,NA,NA,NA,NA,"Fresh",NA,NA,NA,NA,NA,NA,NA,"Unid","Unid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other",NA,48.1749980860215,-124.196525700935,0.211774299065425,-0.1254019139785,-124.4083,48.3004
"Clallam","MKH2018-013","MKH2018-013","MKH2018-013","Confirmed - High Report","Harbor Porpoise","Phocoena","phocoena",NA,"Jonathan Scordino","Makah Fisheries Management","Makah Fisheries Management",NA,NA,NA,"WA",NA,NA,48.3371,"decimal degrees","Estimate",-124.6648,"decimal degrees","Estimate","Internet","N","N","9/4/18",2018,NA,NA,NA,NA,NA,"Fresh",NA,NA,NA,NA,NA,NA,NA,"Unid","Unid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other",NA,48.1749980860215,-124.196525700935,0.468274299065428,-0.162101913978496,-124.6648,48.3371
"Clallam","MKH2018-016","MKH2018-016","MKH2018-016","Confirmed - Medium Report","Harbor Porpoise","Phocoena","phocoena",NA,"Maria Roberts","Makah Fisheries Management","Makah Fisheries Management",NA,NA,NA,"WA",NA,NA,48.3367,"decimal degrees","Actual",-124.6655,"decimal degrees","Actual","GPS","N","CBD","9/13/18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unid","Unid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other",NA,48.1749980860215,-124.196525700935,0.468974299065422,-0.161701913978497,-124.6655,48.3367
"Clallam","NW-2006-1058225","060412-JST-PHPH","06NWR04020","Confirmed - Medium Report","Porpoise, harbor","Phocoena","phocoena","Validated","Agency Biologist",NA,"Jamestown S'Klallam Tribe","NW","United States","Blyn","WA","Strait of Juan de Fuca","Toe of Sequim Bay behind Jamestown Tribal Center",NA,"deg/min/sec","actual",-122.59,"deg/min/sec","actual","GPS","N","N","2006-APR-12",2006,"APR",12,"Beach or Land",NA,NA,"Alive","N","2006-APR-13",2006,"APR",13,"Fresh Dead","Y","Female","Adult",188,"cm","actual",150,"lb",NA,NA,NA,NA,NA,"stuck in tideland flats for several hours; unable to reach animal without sinking in mud","Harbor porpoise","Inland_WA",48.1749980860215,-124.196525700935,-1.60652570093457,NA,-124.196525700935,48.1749980860215
"Clallam","NW-2006-1060489","CRC-755","06NWR07063","Confirmed - Medium Report","Whale, gray","Eschrichtius","robustus","Validated","Jessie Huggins","Cascadia Research","Cascadia Research","NW","United States","Ozette","WA","Pacific Ocean","Duk Point, near Ozette",NA,"decimal degrees","actual",-124,"decimal degrees","actual","GPS","N","N","2006-JUL-18",2006,"JUL",18,NA,NA,NA,"Condition Unknown","N","2006-JUL-19",2006,"JUL",19,"Moderate Decomposition","N","Male","Yearling",918,"cm","actual",0,"lb","2006-JUL-19",2006,"JUL",19,"Cascadia Research",NA,"Gray whale","Inland_WA",48.1749980860215,-124.196525700935,-0.196525700934572,NA,-124,48.1749980860215
"Clallam","NW-2000-1023396","mbhPd20003","NMFSNW-122",NA,"Porpoise, Dalls","Phocoenoides","dalli","Validated","NMML",NA,"Unknown","NW","United States","Dungeness Spit","WA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","2000-JAN-06",2000,"JAN",6,NA,NA,NA,"Fresh Dead","N","2001-APR-05",2001,"APR",5,"Advanced Decomposition","N","Male","Unid",155,"cm","actual",NA,"kg",NA,NA,NA,NA,"Unknown","B. Lagerquist called number twice that day. No answer.","Dalls porpoise","Inland_WA",48.1749980860215,-124.196525700935,NA,NA,-124.196525700935,48.1749980860215
"Clallam","NW-2003-1000776","DNG-03-002","03NWR05003","Confirmed - High Report","Porpoise, harbor","Phocoena","phocoena","Validated","Agency Biologist","USFWS","USFWS","NW","United States","Sequim","WA","Strait of Juan de Fuca","1 mile S of Dungeness Spit",NA,NA,NA,NA,NA,NA,NA,NA,"CBD","2003-MAY-04",2003,"MAY",4,"Beach or Land",NA,NA,"Moderate Decomposition","N","2003-MAY-08",2003,"MAY",8,"Moderate Decomposition","N","Female","Adult",200,"cm","estimate",NA,"kg",NA,NA,NA,NA,NA,"head only was CT scanned 7/20/03, but not necropsied","Harbor porpoise","Inland_WA",48.1749980860215,-124.196525700935,NA,NA,-124.196525700935,48.1749980860215
